"","id","session","query","annotation","query_state"
"1541",1541,"trec-2010-68","diabetes educator","[[\http://dbpedia.org/resource/Diabetes_mellitus\""] [\""http://dbpedia.org/resource/Education\""]]""","WS"
"1547",1547,"trec-2010-71","mitchell college admissions","[[\http://dbpedia.org/resource/Mitchell_College\""] [\""http://dbpedia.org/resource/University_and_college_admission\""]]""","WS"
"1551",1551,"trec-2010-73","inexpensive wedding","[[\http://dbpedia.org/resource/Expense\""] [\""http://dbpedia.org/resource/Wedding\""]]""","WS"
"1567",1567,"trec-2010-81","dj jobs","[[\http://dbpedia.org/resource/Disc_jockey\""] [\""http://dbpedia.org/resource/Job_(role)\""]]""","WS"
"1571",1571,"trec-2010-83","history word searches","[[\http://dbpedia.org/resource/History\""] [\""http://dbpedia.org/resource/Word_search\""]]""","WS"
"1579",1579,"trec-2010-87","president of the united states contact","[[\http://dbpedia.org/resource/President_of_the_United_States\""] [\""http://dbpedia.org/resource/Social_network\""]]""","WS"
"1583",1583,"trec-2010-89","continental drift","[[\http://dbpedia.org/resource/Continent\""] [\""http://dbpedia.org/resource/Continental_drift\""]]""","WS"
"1587",1587,"trec-2010-91","satellite internet providers","[[\http://dbpedia.org/resource/Satellite\""] [\""http://dbpedia.org/resource/Internet\""] [\""http://dbpedia.org/resource/Internet_service_provider\""]]""","WS"
"1589",1589,"trec-2010-92","us geographic map","[[\http://dbpedia.org/resource/United_States\""] [\""http://dbpedia.org/resource/Geography\""] [\""http://dbpedia.org/resource/Map\]]""","WS"
"1591",1591,"trec-2010-93","hunting regulations in arizona","[[\http://dbpedia.org/resource/Hunting\""] [\""http://dbpedia.org/resource/Regulation\""] [\""http://dbpedia.org/resource/Arizona\""]]""","WS"
"1595",1595,"trec-2010-95","indexed annuity rating","[[\http://dbpedia.org/resource/Indexed_annuity\""] [\""http://dbpedia.org/resource/Rating\""]]""","WS"
"1599",1599,"trec-2010-97","grow kiwi tree","[[\http://dbpedia.org/resource/Gardening\""] [\""http://dbpedia.org/resource/Kiwifruit\""] [\""http://dbpedia.org/resource/Tree\""]]""","WS"
"1606",1606,"trec-2011-10","crisis intervention professional services","[[\http://dbpedia.org/resource/Crisis_intervention\""] [\""http://dbpedia.org/resource/Professional\""] [\""http://dbpedia.org/resource/Service\""]]""","WS"
"1614",1614,"trec-2011-12","taylor manor maryland","[[\http://dbpedia.org/resource/Sheppard_Pratt_at_Ellicott_City\""] [\""http://dbpedia.org/resource/Maryland\""]]""","WS"
"1618",1618,"trec-2011-13","salary of warrant officer","[[\http://dbpedia.org/resource/Salary\""] [\""http://dbpedia.org/resource/Warrant_officer\""]]""","WS"
"1619",1619,"trec-2011-13","job of warrant officer","[[\http://dbpedia.org/resource/Job\""] [\""http://dbpedia.org/resource/Warrant_officer\""]]""","WS"
"1622",1622,"trec-2011-14","training   management    benefits?","[[\http://dbpedia.org/resource/Training\""] [\""http://dbpedia.org/resource/Management\""] [\""http://dbpedia.org/resource/Benefit\""]]""","WS"
"1624",1624,"trec-2011-14","why  management studies   benefits?","[[\http://dbpedia.org/resource/Why\""] [\""http://dbpedia.org/resource/Management\""] [\""http://dbpedia.org/resource/Study\""] [\""http://dbpedia.org/resource/Benefit\""]]""","WS"
"1626",1626,"trec-2011-14","qualifications   management degree?","[[\http://dbpedia.org/resource/Qualification\""] [\""http://dbpedia.org/resource/Management\""] [\""http://dbpedia.org/resource/Academic_degree\""]]""","WS"
"1627",1627,"trec-2011-14","degree hotel management?","[[\http://dbpedia.org/resource/Degree\""] [\""http://dbpedia.org/resource/Hotel\""] [\""http://dbpedia.org/resource/Management\""]]""","WS"
"1630",1630,"trec-2011-15","hardees affiliates","[[\http://dbpedia.org/resource/Hardee's\""] [\""http://dbpedia.org/resource/Network_affiliate\""]]""","WS"
"1637",1637,"trec-2011-18","earthquake incidence worldwide","[[\http://dbpedia.org/resource/Earthquake\""] [\""http://dbpedia.org/resource/Worldwide\""]]""","WS"
"1638",1638,"trec-2011-18","earthquake mapping","[[\http://dbpedia.org/resource/Earthquake\""] [\""http://dbpedia.org/resource/Mapping\""]]""","WS"
"1641",1641,"trec-2011-19","Iwo Jima travel","[[\http://dbpedia.org/resource/Iwo_Jima\""] [\""http://dbpedia.org/resource/Travel\""]]""","WS"
"1646",1646,"trec-2011-21","dooney and bourke replicas","[[\http://dbpedia.org/resource/Dooney_&_Bourke\""] [\""http://dbpedia.org/resource/Replica\""]]""","WS"
"1651",1651,"trec-2011-23","History of dupont science essay contest","[[\http://dbpedia.org/resource/History\""] [\""http://dbpedia.org/resource/DuPont\""] [\""http://dbpedia.org/resource/Essay\""] [\""http://dbpedia.org/resource/Contest\""]]""","WS"
"1654",1654,"trec-2011-24","What is the DuPont Science Essay Contest?","[[\http://dbpedia.org/resource/What\""] [\""http://dbpedia.org/resource/DuPont\""] [\""http://dbpedia.org/resource/Science\""] [\""http://dbpedia.org/resource/Essay\""] [\""http://dbpedia.org/resource/Contest\""]]""","WS"
"1655",1655,"trec-2011-24","When was the DSEC created?","[[\http://dbpedia.org/resource/When\""]]""","WS"
"1657",1657,"trec-2011-25","CVD causes symptoms treatments","[[\http://dbpedia.org/resource/Causes\""] [\""http://dbpedia.org/resource/Symptom\""] [\""http://dbpedia.org/resource/Treatment\""]]""","WS"
"1658",1658,"trec-2011-25","collagen vascular disease causes symptoms treatments","[[\http://dbpedia.org/resource/Causes\""] [\""http://dbpedia.org/resource/Symptom\""] [\""http://dbpedia.org/resource/Treatment\""]]""","WS"
"1661",1661,"trec-2011-26","lake murray largest fish","[[\http://dbpedia.org/resource/Lake_Murray\""] [\""http://dbpedia.org/resource/Fish\""]]""","WS"
"1665",1665,"trec-2011-28","derivation of \nickname\""""","[[\http://dbpedia.org/resource/Derivation_(linguistics)\""] [\""http://dbpedia.org/resource/Nickname\""]]""","WS"
"1666",1666,"trec-2011-28","thesaurus \nickname\""""","[[\http://dbpedia.org/resource/Thesaurus\""] [\""http://dbpedia.org/resource/Nickname\""]]""","WS"
"1669",1669,"trec-2011-29","Basil family","[[\http://dbpedia.org/resource/Family\""]]""","WS"
"1670",1670,"trec-2011-30","Charles Basil biography","[[\http://dbpedia.org/resource/Charles_Basil_Price\""] [\""http://dbpedia.org/resource/Biography\""]]""","WS"
"1671",1671,"trec-2011-30","Charles Basil acomplishments","[[\http://dbpedia.org/resource/Charles_Basil_Price\""]]""","WS"
"1672",1672,"trec-2011-30","Basil  Charles","[[\http://dbpedia.org/resource/Charles_Basil_Price\""]]""","WS"
"1687",1687,"trec-2011-35","\skagit valley herald\"" created""","[[\http://dbpedia.org/resource/Skagit_Valley\""]""","WS"
"1688",1688,"trec-2011-35","\skagit valley herald\"" founded""","[[\http://dbpedia.org/resource/Skagit_Valley\""]]""","WS"
"1689",1689,"trec-2011-35","\skagit valley herald\"" circulation""","[[\http://dbpedia.org/resource/Skagit_Valley\""] [\""http://dbpedia.org/resource/Newspaper_circulation\""]]""","WS"
"1690",1690,"trec-2011-35","\skagit valley\"" demographics""","[[\http://dbpedia.org/resource/Skagit_Valley\""] [\""http://dbpedia.org/resource/Demographics\""]]""","WS"
"1691",1691,"trec-2011-35","\skagit county\""""","[[\http://dbpedia.org/resource/Skagit_County_Washington\""]]""","WS"
"1692",1692,"trec-2011-35","\skagit valley\"" noted""","[[\http://dbpedia.org/resource/Skagit_Valley\""]]""","WS"
"1693",1693,"trec-2011-35","\skagit valley\"" history""","[[\http://dbpedia.org/resource/Skagit_Valley\""] [\""http://dbpedia.org/resource/History\""]]""","WS"
"1695",1695,"trec-2011-36","wikipedia black powder","[[\http://dbpedia.org/resource/Gunpowder\""]]""","WS"
"1696",1696,"trec-2011-36","black powder inventor","[[\http://dbpedia.org/resource/Gunpowder\""]]""","WS"
"1697",1697,"trec-2011-37","black powder ammunition wiki","[[\http://dbpedia.org/resource/Gunpowder\""] [\""http://dbpedia.org/resource/Wiki\""]]""","WS"
"1698",1698,"trec-2011-37","gun powder wiki","[[\http://dbpedia.org/resource/Gunpowder\""] [\""http://dbpedia.org/resource/Wiki\""]]""","WS"
"1700",1700,"trec-2011-37","usage of gunpowder","[[\http://dbpedia.org/resource/Gunpowder\""]]""","WS"
"1701",1701,"trec-2011-37","history of gunpowder use","[[\http://dbpedia.org/resource/History\""] [\""http://dbpedia.org/resource/Gunpowder\""]]""","WS"
"1704",1704,"trec-2011-38","spain annual rainfall temperature","[[\http://dbpedia.org/resource/Spain\""] [\""http://dbpedia.org/resource/Pressure_system\""] [\""http://dbpedia.org/resource/Year\""]]""","WS"
"1706",1706,"trec-2011-39","Houston community college location","[[\http://dbpedia.org/resource/Houston_Community_College_System\""]]""","WS"
"1708",1708,"trec-2011-40","houston community college associated high schools?","[[\http://dbpedia.org/resource/High_school\""] [\""http://dbpedia.org/resource/Houston_Community_College_System\""]]""","WS"
"1709",1709,"trec-2011-40","houston community college curriculum","[[\http://dbpedia.org/resource/Curriculum\""] [\""http://dbpedia.org/resource/Houston_Community_College_System\""]]""","WS"
"1711",1711,"trec-2011-41","Jay-Z marry","[[\http://dbpedia.org/resource/Jay-Z\""] [\""http://dbpedia.org/resource/Marriage\""]]""","WS"
"1712",1712,"trec-2011-41","Jay-Z albums","[[\http://dbpedia.org/resource/Jay-Z\""] [\""http://dbpedia.org/resource/Album\""]]""","WS"
"1714",1714,"trec-2011-42","Curveball wiki","[[\http://dbpedia.org/resource/Wiki\""]]""","WS"
"1722",1722,"trec-2011-45","merrill lynch CEO HQ","[[\http://dbpedia.org/resource/Merrill_Lynch\""] [\""http://dbpedia.org/resource/Chief_executive_officer\""] [\""http://dbpedia.org/resource/Headquarters\""]]""","WS"
"1723",1723,"trec-2011-45","merrill lynch location","[[\http://dbpedia.org/resource/Merrill_Lynch\""]]""","WS"
"1725",1725,"trec-2011-45","merrill lynch alternative name","[[\http://dbpedia.org/resource/Merrill_Lynch\""] [\""http://dbpedia.org/resource/Pseudonym\""]]""","WS"
"1728",1728,"trec-2011-46","isabelle dinoire ethics","[[\http://dbpedia.org/resource/Isabelle_Dinoire\""] [\""http://dbpedia.org/resource/Ethics\""]]""","WS"
"1733",1733,"trec-2011-48","Irving Berlin list of songs","[[\http://dbpedia.org/resource/Irving_Berlin\""] [\""http://dbpedia.org/resource/List_of_songs_written_by_Irving_Berlin\""]]""","WS"
"1745",1745,"trec-2011-51","\jasper fforde\"" questions answers contents""","[[\http://dbpedia.org/resource/Jasper_Fforde\""] [\""http://dbpedia.org/resource/Question\""]]""","WS"
"1746",1746,"trec-2011-51","\jasper fforde\"" \""thursday next\"" site""","[[\http://dbpedia.org/resource/Jasper_Fforde\""] [\""http://dbpedia.org/resource/Thursday_Next\""] [\""http://dbpedia.org/resource/Website\""]]""","WS"
"1748",1748,"trec-2011-52","Guinnes Brewmaster 2006","[[\http://dbpedia.org/resource/Guinness\""]]""","WS"
"1753",1753,"trec-2011-53","Guinness brewmaster 2006","[[\http://dbpedia.org/resource/Guinness\""]]""","WS"
"1755",1755,"trec-2011-53","Guinness sales per day Ireland","[[\http://dbpedia.org/resource/Guinness\""] [\""http://dbpedia.org/resource/Sales\""] [\""http://dbpedia.org/resource/Day\""] [\""http://dbpedia.org/resource/Ireland\""]]""","WS"
"1757",1757,"trec-2011-53","percent of alcohol by volume in Guinness","[[\http://dbpedia.org/resource/Alcohol_by_volume\""] [\""http://dbpedia.org/resource/Guinness\""]]""","WS"
"1760",1760,"trec-2011-54","first ever hybrid car","[[\http://dbpedia.org/resource/Hybrid_vehicle\""]]""","WS"
"1761",1761,"trec-2011-54","percentage sales of hybrid vehicles in 2004 usa","[[\http://dbpedia.org/resource/Percentage\""] [\""http://dbpedia.org/resource/Sales\""] [\""http://dbpedia.org/resource/Hybrid_vehicle\""] [\""http://dbpedia.org/resource/United_States\""]]""","WS"
"1765",1765,"trec-2011-55","New York American Girl dolls cost","[[\http://dbpedia.org/resource/American_Girl\""] [\""http://dbpedia.org/resource/Doll\""] [\""http://dbpedia.org/resource/Cost\""]]""","WS"
"1767",1767,"trec-2011-55","American Girl doll retail price","[[\http://dbpedia.org/resource/American_Girl\""] [\""http://dbpedia.org/resource/Retail\""] [\""http://dbpedia.org/resource/Price\""]]""","WS"
"1768",1768,"trec-2011-55","American Girl doll wiki","[[\http://dbpedia.org/resource/American_Girl\""] [\""http://dbpedia.org/resource/Doll\""] [\""http://dbpedia.org/resource/Wiki\""]]""","WS"
"1771",1771,"trec-2011-56","chanel museum exhibition clothing","[[\http://dbpedia.org/resource/Chanel\""] [\""http://dbpedia.org/resource/Museum\""] [\""http://dbpedia.org/resource/Exhibition\""] [\""http://dbpedia.org/resource/Clothing\""]]""","WS"
"1772",1772,"trec-2011-56","chanel president","[[\http://dbpedia.org/resource/Chanel\""] [\""http://dbpedia.org/resource/President\""]]""","WS"
"1773",1773,"trec-2011-56","chanel clothes award ceremonies women","[[\http://dbpedia.org/resource/Chanel\""] [\""http://dbpedia.org/resource/Clothing\""] [\""http://dbpedia.org/resource/Award\""] [\""http://dbpedia.org/resource/Ceremony\""] [\""http://dbpedia.org/resource/Woman\""]]""","WS"
"1774",1774,"trec-2011-56","chanel top fragrance","[[\http://dbpedia.org/resource/Chanel\""] [\""http://dbpedia.org/resource/Aroma_compound\""]]""","WS"
"1778",1778,"trec-2011-57","2005 presidential election, Egypt, poster cost","[[\http://dbpedia.org/resource/Egyptian_presidential_election_2005\""]]""","WS"
"1782",1782,"trec-2011-58","\world snooker\"" \""tournaments annually\""""","[[\http://dbpedia.org/resource/World\""] [\""http://dbpedia.org/resource/Snooker\""] [\""http://dbpedia.org/resource/Tournament\""] [\""http://dbpedia.org/resource/Year\""]]""","WS"
"1784",1784,"trec-2011-58","\world snooker\"" \""reigning superstar\""""","[[\http://dbpedia.org/resource/World\""] [\""http://dbpedia.org/resource/Snooker\""] [\""http://dbpedia.org/resource/Reign\""] [\""http://dbpedia.org/resource/Superstar\""]]""","WS"
"1787",1787,"trec-2011-59","marsupials cartoon","[[\http://dbpedia.org/resource/Tasmanian_Devil_(Looney_Tunes)\""] [\""http://dbpedia.org/resource/Marsupial\""] [\""http://dbpedia.org/resource/Cartoon\""]]""","WS"
"1790",1790,"trec-2011-60","non-extinct marsupials","[[\http://dbpedia.org/resource/Extant_taxon\""] [\""http://dbpedia.org/resource/Marsupial\""]]""","WS"
"1794",1794,"trec-2011-60","marsupial outside australia","[[\http://dbpedia.org/resource/Marsupial\""] [\""http://dbpedia.org/resource/Australia\""]]""","WS"
"1795",1795,"trec-2011-60","marsupial manure","[[\http://dbpedia.org/resource/Marsupial\""] [\""http://dbpedia.org/resource/Manure\""]]""","WS"
"1797",1797,"trec-2011-60","marsupial cartoon character","[[\http://dbpedia.org/resource/Tasmanian_Devil_(Looney_Tunes)\""]]""","WS"
"1801",1801,"trec-2011-62","FISA wiretap applications","[[\http://dbpedia.org/resource/Foreign_Intelligence_Surveillance_Act\""] [\""http://dbpedia.org/resource/Telephone_tapping\""]]""","WS"
"1802",1802,"trec-2011-62","FISA judges serving term","[[\http://dbpedia.org/resource/United_States_Foreign_Intelligence_Surveillance_Court\""] [\""http://dbpedia.org/resource/Term_of_office\""] [\""http://dbpedia.org/resource/Foreign_Intelligence_Surveillance_Act\""] [\""http://dbpedia.org/resource/Judge\""]]""","WS"
"1805",1805,"trec-2011-63","1990 FISA wiretap applications","[[\http://dbpedia.org/resource/1990\""] [\""http://dbpedia.org/resource/Foreign_Intelligence_Surveillance_Act\""] [\""http://dbpedia.org/resource/Telephone_tapping\""]]""","WS"
"1806",1806,"trec-2011-63","judges FISA court","[[\http://dbpedia.org/resource/Judge\""] [\""http://dbpedia.org/resource/United_States_Foreign_Intelligence_Surveillance_Court\""]]""","WS"
"1809",1809,"trec-2011-64","australia wine export to United States","[[\http://dbpedia.org/resource/Australian_wine\""] [\""http://dbpedia.org/resource/Export\""] [\""http://dbpedia.org/resource/United_States\""]]""","WS"
"1810",1810,"trec-2011-64","australia female winemaker","[[\http://dbpedia.org/resource/Australians\""] [\""http://dbpedia.org/resource/Woman\""] [\""http://dbpedia.org/resource/Winemaker\""]]""","WS"
"1812",1812,"trec-2011-65","Australian female winemakers","[[\http://dbpedia.org/resource/Australians\""] [\""http://dbpedia.org/resource/Female\""] [\""http://dbpedia.org/resource/Winemaker\""]]""","WS"
"1817",1817,"trec-2011-66","Australia wine export to US","[[\http://dbpedia.org/resource/Australian_wine\""] [\""http://dbpedia.org/resource/Export\""] [\""http://dbpedia.org/resource/United_States\""]]""","WS"
"1818",1818,"trec-2011-66","Yellowtail wine Australia","[[\http://dbpedia.org/resource/Yellow_Tail_(wine)\""] [\""http://dbpedia.org/resource/Australia\""]]""","WS"
"1819",1819,"trec-2011-66","female winemakers Australia","[[\http://dbpedia.org/resource/Female\""] [\""http://dbpedia.org/resource/Winemaker\""] [\""http://dbpedia.org/resource/Australia\""]]""","WS"
"1820",1820,"trec-2011-66","female winemakers site:.com.au","[[\http://dbpedia.org/resource/Female\""] [\""http://dbpedia.org/resource/Winemaker\""] [\""http://dbpedia.org/resource/Website\""][\""http://dbpedia.org/resource/Australia\""]]""","WS"
"1825",1825,"trec-2011-68","jack nicholson co stars","[[\http://dbpedia.org/resource/Jack_Nicholson\""] [\""http://dbpedia.org/resource/Movie_star\""]]""","WS"
"1827",1827,"trec-2011-68","co stars of jack nicholson","[[\http://dbpedia.org/resource/Movie_star\""] [\""http://dbpedia.org/resource/Jack_Nicholson\""]]""","WS"
"1832",1832,"trec-2011-70","frequency hematology report body chemistry","[[\http://dbpedia.org/resource/Frequency\""] [\""http://dbpedia.org/resource/Blood_test\""] [\""http://dbpedia.org/resource/Biomonitoring\""]]""","WS"
"1834",1834,"trec-2011-71","\pest control\"" courses""","[[\http://dbpedia.org/resource/Pest_control\""] [\""http://dbpedia.org/resource/Course_(education)\""]]""","WS"
"1835",1835,"trec-2011-71","\pest control\"" manual \""how-to\""""","[[\http://dbpedia.org/resource/How-to\""] [\""http://dbpedia.org/resource/Pest_control\""] [\""http://dbpedia.org/resource/Pest_(organism)\""]]""","WS"
"1837",1837,"trec-2011-72","which home pregnancy tests are most accurate","[[\http://dbpedia.org/resource/Pregnancy_test\""] [\""http://dbpedia.org/resource/Accuracy_and_precision\""]]""","WS"
"1839",1839,"trec-2011-73","crossword puzzle wiki","[[\http://dbpedia.org/resource/Crossword\""] [\""http://dbpedia.org/resource/Wiki\""]]""","WS"
"1841",1841,"trec-2011-74","\hospital anxiety and depression scale\"" scales \""anxiety is\""""","[[\http://dbpedia.org/resource/Hospital_Anxiety_and_Depression_Scale\""] [\""http://dbpedia.org/resource/Hospital_Anxiety_and_Depression_Scale\""] [\""http://dbpedia.org/resource/Hamilton_Rating_Scale_for_Depression\""] [\""http://dbpedia.org/resource/Hospital\""] [\""http://dbpedia.org/resource/Anxiety\""]]""","WS"
"1843",1843,"trec-2011-75","wiki trust fund","[[\http://dbpedia.org/resource/Wiki\""] [\""http://dbpedia.org/resource/Trust_law\""]]""","WS"
"1851",1851,"trec-2012-11","russian submarine Kursk fleet","[[\http://dbpedia.org/resource/Russian_submarine_K-141_Kursk\""] [\""http://dbpedia.org/resource/Northern_Fleet\""]]""","WS"
"1852",1852,"trec-2012-11","russian submarine Kursk on-board commander","[[\http://dbpedia.org/resource/Russian_submarine_K-141_Kursk\""] [\""http://dbpedia.org/resource/Commanding_officer\""]]""","WS"
"1855",1855,"trec-2012-11","kursk sink express regret","[[\http://dbpedia.org/resource/Russian_submarine_Kursk_explosion\""] [\""http://dbpedia.org/resource/Emotional_expression\""] [\""http://dbpedia.org/resource/Regret\""]]""","WS"
"1856",1856,"trec-2012-11","kursk countries express regret","[[\http://dbpedia.org/resource/Russian_submarine_K-141_Kursk\""] [\""http://dbpedia.org/resource/Country\""] [\""http://dbpedia.org/resource/Emotional_expression\""] [\""http://dbpedia.org/resource/Regret\""]]""","WS"
"1858",1858,"trec-2012-11","kursk UK subs in area","[[\http://dbpedia.org/resource/Russian_submarine_K-141_Kursk\""] [\""http://dbpedia.org/resource/List_of_submarine_classes_of_the_Royal_Navy\""] [\""http://dbpedia.org/resource/Area\""]]""","WS"
"1874",1874,"trec-2012-18","politics 1994-2000  Indian Miss Universe","[[\http://dbpedia.org/resource/Politics_of_India\""] [\""http://dbpedia.org/resource/Miss_Universe\""]]""","WS"
"1891",1891,"trec-2012-24","france 1998 final","[[\http://dbpedia.org/resource/France_national_football_team\""] [\""http://dbpedia.org/resource/1998_FIFA_World_Cup_Final\""] [\""http://dbpedia.org/resource/France\""]]""","WS"
"1892",1892,"trec-2012-24","france vs brazil 1998 stadium","[[\http://dbpedia.org/resource/1998_FIFA_World_Cup_Final\""] [\""http://dbpedia.org/resource/Stade_de_France\""]]""","WS"
"1895",1895,"trec-2012-25","france versus who world cup 1998","[[\http://dbpedia.org/resource/France_national_football_team\""]]""","WS"
"1897",1897,"trec-2012-25","nickname for france football team in world cup 1998","[[\http://dbpedia.org/resource/Nickname\""] [\""http://dbpedia.org/resource/France_national_football_team\""] [\""http://dbpedia.org/resource/1998_FIFA_World_Cup\""]]""","WS"
"1898",1898,"trec-2012-25","stadium final world cup 1998","[[\http://dbpedia.org/resource/Stade_de_France\""] [\""http://dbpedia.org/resource/1998_FIFA_World_Cup\""]]""","WS"
"1899",1899,"trec-2012-25","coach france football team world cup 1998","[[\http://dbpedia.org/resource/Henri_Michel\""] [\""http://dbpedia.org/resource/France_national_football_team\""] [\""http://dbpedia.org/resource/1998_FIFA_World_Cup\""]]""","WS"
"1902",1902,"trec-2012-26","france world cup 1998 stock markets","[[\http://dbpedia.org/resource/France_national_football_team\""] [\""http://dbpedia.org/resource/1998_FIFA_World_Cup\""] [\""http://dbpedia.org/resource/Stock_market\""] [\""http://dbpedia.org/resource/France\""]]""","WS"
"1905",1905,"trec-2012-27","french world cup 1998","[[\http://dbpedia.org/resource/France_national_football_team\""] [\""http://dbpedia.org/resource/1998_FIFA_World_Cup\""] [\""http://dbpedia.org/resource/France\""]]""","WS"
"1909",1911,"trec-2012-29","bollywood beverly hills","[[\http://dbpedia.org/resource/Bollywood\""] [\""http://dbpedia.org/resource/Beverly_Hills_California\""]]""","WS"
"1910",1912,"trec-2012-29","bollywood oscars","[[\http://dbpedia.org/resource/List_of_Indian_submissions_for_the_Academy_Award_for_Best_Foreign_Language_Film\""] [\""http://dbpedia.org/resource/Bollywood\""] [\""http://dbpedia.org/resource/Academy_Award\""]]""","WS"
"1913",1915,"trec-2012-30","bollywood oscars","[[\http://dbpedia.org/resource/List_of_Indian_submissions_for_the_Academy_Award_for_Best_Foreign_Language_Film\""] [\""http://dbpedia.org/resource/Bollywood\""] [\""http://dbpedia.org/resource/Academy_Award\""]]""","WS"
"1915",1917,"trec-2012-31","bollywood legislation","[[\http://dbpedia.org/resource/Bollywood\""] [\""http://dbpedia.org/resource/Legislation\""]]""","WS"
"1916",1918,"trec-2012-31","bollywood promote growth","[[\http://dbpedia.org/resource/Bollywood\""] [\""http://dbpedia.org/resource/Promotion_(marketing)\""] [\""http://dbpedia.org/resource/Economic_growth\""]]""","WS"
"1918",1920,"trec-2012-32","bollywood law","[[\http://dbpedia.org/resource/Bollywood\""] [\""http://dbpedia.org/resource/Legislation\""]]""","WS"
"1924",1926,"trec-2012-35","merck and co. lobbying","[[\http://dbpedia.org/resource/Merck_&_Co.\""] [\""http://dbpedia.org/resource/Lobbying\""]]""","WS"
"1928",1930,"trec-2012-36","\Merck lobbyist\"" united states policy legislation""","[[\http://dbpedia.org/resource/Merck_&_Co.\""] [\""http://dbpedia.org/resource/Lobbying\""] [\""http://dbpedia.org/resource/Public_policy_of_the_United_States\""] [\""http://dbpedia.org/resource/Legislation\""]]""","WS"
"1929",1931,"trec-2012-36","merck lobbying","[[\http://dbpedia.org/resource/Merck_&_Co.\""] [\""http://dbpedia.org/resource/Lobbying\""]]""","WS"
"1931",1933,"trec-2012-37","Merck lobbying US policy","[[\http://dbpedia.org/resource/Merck_&_Co.\""] [\""http://dbpedia.org/resource/Lobbying\""] [\""http://dbpedia.org/resource/Public_policy_of_the_United_States\""]]""","WS"
"1936",1938,"trec-2012-39","\Akira Kurosawa\"" indian cinema""","[[\http://dbpedia.org/resource/Akira_Kurosawa\""] [\""http://dbpedia.org/resource/Cinema_of_India\""]]""","WS"
"1937",1939,"trec-2012-39","\Akira Kurosawa\"" chinese cinema""","[[\http://dbpedia.org/resource/Akira_Kurosawa\""] [\""http://dbpedia.org/resource/Chinese_language\""] [\""http://dbpedia.org/resource/Filmmaking\""]]""","WS"
"1939",1941,"trec-2012-40","water turbine cost per kwh","[[\http://dbpedia.org/resource/Water_turbine\""] [\""http://dbpedia.org/resource/Cost\""] [\""http://dbpedia.org/resource/Kilowatt_hour\""]]""","WS"
"1942",1944,"trec-2012-41","Newton's third law","[[\http://dbpedia.org/resource/Newton's_laws_of_motion\""]]""","WS"
"1945",1947,"trec-2012-42","water turbines replace fossil fuels","[[\http://dbpedia.org/resource/Water_turbine\""]]""","WS"
"1946",1948,"trec-2012-42","water turbines electricity generation cost per kWh","[[\http://dbpedia.org/resource/Water_turbine\""] [\""http://dbpedia.org/resource/Cost\""] [\""http://dbpedia.org/resource/Kilowatt_hour\""]]""","WS"
"1947",1949,"trec-2012-42","effective water turbines types","[[\http://dbpedia.org/resource/Effectiveness\""] [\""http://dbpedia.org/resource/Water_turbine\""]]""","WS"
"1948",1950,"trec-2012-42","comparison of water turbine types","[[\http://dbpedia.org/resource/Water_turbine\""]]""","WS"
"1950",1952,"trec-2012-43","types of water turbines","[[\http://dbpedia.org/resource/Water_turbine\""]]""","WS"
"1951",1953,"trec-2012-43","newtons laws on water turbines","[[\http://dbpedia.org/resource/Newton's_laws_of_motion\""] [\""http://dbpedia.org/resource/Water_turbine\""]]""","WS"
"1961",1963,"trec-2012-47","pseudocyesis history","[[\http://dbpedia.org/resource/False_pregnancy\""] [\""http://dbpedia.org/resource/History\""]]""","WS"
"1970",1972,"trec-2012-50","causes of false preganancy","[[\http://dbpedia.org/resource/Causality\""] [\""http://dbpedia.org/resource/False_pregnancy\""]]""","WS"
"1976",1978,"trec-2012-52","psuedocyesis causes study","[[\http://dbpedia.org/resource/False_pregnancy\""] [\""http://dbpedia.org/resource/Causality\""] [\""http://dbpedia.org/resource/Clinical_trial\""]]""","WS"
"1977",1979,"trec-2012-52","psuedocyesis pathogenesis","[[\http://dbpedia.org/resource/False_pregnancy\""] [\""http://dbpedia.org/resource/Pathogenesis\""]]""","WS"
"1978",1980,"trec-2012-52","psuedocyesis pathology","[[\http://dbpedia.org/resource/False_pregnancy\""] [\""http://dbpedia.org/resource/Pathology\""]]""","WS"
"1980",1982,"trec-2012-53","servering spinal cord consequenses","[[\http://dbpedia.org/resource/Cutting\""] [\""http://dbpedia.org/resource/Spinal_cord\""]]""","WS"
"1989",1991,"trec-2012-56","silicon roof coating tutorial","[[\http://dbpedia.org/resource/Silicone\""] [\""http://dbpedia.org/resource/Roof_coating\""]]""","WS"
"1991",1993,"trec-2012-56","roof coating solutions","[[\http://dbpedia.org/resource/Roof_coating\""]]""","WS"
"1992",1994,"trec-2012-56","roof coating lower temperature","[[\http://dbpedia.org/resource/Roof_coating\""] [\""http://dbpedia.org/resource/Temperature\""]]""","WS"
"1999",2001,"trec-2012-58","how roof installation prevent heat","[[\http://dbpedia.org/resource/Roof\""] [\""http://dbpedia.org/resource/Heat\""]]""","WS"
"2001",2003,"trec-2012-59","cool roof","[[\http://dbpedia.org/resource/Cooling\""] [\""http://dbpedia.org/resource/Roof\""]]""","WS"
