id;session;query;annotation;query_state
398;yahoo-196;hamas wiki;"[[\http://dbpedia.org/resource/Hamas\""] [\""http://dbpedia.org/resource/Wiki\""]]""";IS
399;yahoo-196;kim kardashian;"[[\http://dbpedia.org/resource/Kim_Kardashian\""]]""";NW
400;yahoo-196;public nudity ban;"[[\http://dbpedia.org/resource/Public_nudity\""] [\""http://dbpedia.org/resource/Ban_(law)\""]]""";NW
401;yahoo-196;Public nudity ban;"[[\http://dbpedia.org/resource/Public_nudity\""] [\""http://dbpedia.org/resource/Ban_(law)\""]]""";RP
402;yahoo-196;public nudity;"[[\http://dbpedia.org/resource/Public_nudity\""]]""";GE
403;yahoo-197;icbc knowledge test online;"[[\http://dbpedia.org/resource/Industrial_and_Commercial_Bank_of_China\""] [\""http://dbpedia.org/resource/Online_and_offline\""]]""";IS
404;yahoo-197;penticton bc;"[[\http://dbpedia.org/resource/Penticton\""] [\""http://dbpedia.org/resource/British_Columbia\""]]""";NW
405;yahoo-197;penticton bc canada;"[[\http://dbpedia.org/resource/Penticton\""] [\""http://dbpedia.org/resource/British_Columbia\""] [\""http://dbpedia.org/resource/Canada\""]]""";SC
406;yahoo-197;penticton bc hotels;"[[\http://dbpedia.org/resource/Penticton\""] [\""http://dbpedia.org/resource/British_Columbia\""] [\""http://dbpedia.org/resource/Hotel\""]]""";WS
407;yahoo-197;penticton bc real estate;"[[\http://dbpedia.org/resource/Penticton\""] [\""http://dbpedia.org/resource/British_Columbia\""] [\""http://dbpedia.org/resource/Real_estate\""]]""";WS
408;yahoo-197;penticton bc weather;"[[\http://dbpedia.org/resource/Penticton\""] [\""http://dbpedia.org/resource/British_Columbia\""] [\""http://dbpedia.org/resource/Weather\""]]""";WS
409;yahoo-197;penticton;"[[\http://dbpedia.org/resource/Penticton\""]]""";GE
410;yahoo-197;penticton herald;"[[\http://dbpedia.org/resource/Penticton_Herald\""]]""";SC
411;yahoo-197;pentagon;"[[\http://dbpedia.org/resource/The_Pentagon\""]]""";NW
412;yahoo-197;penelope cruz;"[[\http://dbpedia.org/resource/Penelope_Cruz\""]]""";NW
413;yahoo-197;yahoo! dating;"[[\http://dbpedia.org/resource/Yahoo!_Personals\""]]""";NW
414;yahoo-197;iran fired on drone;"[[\http://dbpedia.org/resource/Iran\""] [\""http://dbpedia.org/resource/Shooting\""] [\""http://dbpedia.org/resource/Unmanned_combat_air_vehicle\""]]""";NW
415;yahoo-197;xbox 360;"[[\http://dbpedia.org/resource/Xbox_360\""]]""";NW
416;yahoo-197;xm radio;"[[\http://dbpedia.org/resource/XM_Satellite_Radio\""]]""";NW
417;yahoo-197;xmas;"[[\http://dbpedia.org/resource/Xmas\""]]""";NW
418;yahoo-197;xmas cards;"[[\http://dbpedia.org/resource/Xmas\""] [\""http://dbpedia.org/resource/Christmas_card\""]]""";SC
419;yahoo-197;xmas pictures;"[[\http://dbpedia.org/resource/Xmas\""] [\""http://dbpedia.org/resource/Image\""]]""";WS
420;yahoo-197;xmas presents;"[[\http://dbpedia.org/resource/Xmas\""] [\""http://dbpedia.org/resource/Gift\""]]""";WS
421;yahoo-197;Xmas presents;"[[\http://dbpedia.org/resource/Xmas\""] [\""http://dbpedia.org/resource/Gift\""]]""";RP
422;yahoo-198;bieber won't be charged;"[[\http://dbpedia.org/resource/Justin_Bieber\""] [\""http://dbpedia.org/resource/Criminal_charge\""]]""";IS
423;yahoo-199;lung cancer;"[[\http://dbpedia.org/resource/Lung_cancer\""]]""";IS
424;yahoo-199;heidi klum;"[[\http://dbpedia.org/resource/Heidi_Klum\""]]""";NW
425;yahoo-200;river phoenix film;"[[\http://dbpedia.org/resource/River_Phoenix\""] [\""http://dbpedia.org/resource/Film\""]]""";IS
426;yahoo-200;one child policy;"[[\http://dbpedia.org/resource/One-child_policy\""]]""";NW
427;yahoo-200;movember;"[[\http://dbpedia.org/resource/Movember\""]]""";NW
428;yahoo-201;billy scott dies;"[[\http://dbpedia.org/resource/Billy_Scott_(singer)\""] [\""http://dbpedia.org/resource/Death\""]]""";IS
429;yahoo-201;707 gun shop myrtle beach sc;"[[\http://dbpedia.org/resource/Myrtle_Beach_South_Carolina\""] [\""http://dbpedia.org/resource/South_Carolina\""]]""";NW
430;yahoo-201;gun shops in myrtle beach sc;"[[\http://dbpedia.org/resource/Firearm\""] [\""http://dbpedia.org/resource/Myrtle_Beach_South_Carolina\""] [\""http://dbpedia.org/resource/South_Carolina\""]]""";SC
431;yahoo-201;glock g21 for sale;"[[\http://dbpedia.org/resource/Sales\""]]""";NW
432;yahoo-201;captain george's myrtle beach;"[[\http://dbpedia.org/resource/Myrtle_Beach_South_Carolina\""]]""";NW
433;yahoo-202;cnnsi;"[[\http://dbpedia.org/resource/CNN_Sports_Illustrated\""]]""";IS
434;yahoo-202;espn;"[[\http://dbpedia.org/resource/ESPN\""]]""";RE
435;yahoo-204;firefox;"[[\http://dbpedia.org/resource/Firefox\""]]""";IS
436;yahoo-205;walmart black friday 2012;"[[\http://dbpedia.org/resource/Walmart\""] [\""http://dbpedia.org/resource/Black_Friday_(shopping)\""] [\""http://dbpedia.org/resource/2012\""]]""";IS
437;yahoo-205;black friday 2012;"[[\http://dbpedia.org/resource/Black_Friday_(shopping)\""] [\""http://dbpedia.org/resource/2012\""]]""";GE
438;yahoo-207;free online games;"[[\http://dbpedia.org/resource/Gratis\""] [\""http://dbpedia.org/resource/Online_game\""]]""";IS
439;yahoo-209;facebook.com;"[[\http://dbpedia.org/resource/Facebook\""]]""";IS
440;yahoo-209;usc shooting;"[[\http://dbpedia.org/resource/University_of_Southern_California\""] [\""http://dbpedia.org/resource/Shooting\""]]""";NW
441;yahoo-210;burlington wisconsin;"[[\http://dbpedia.org/resource/Burlington_Wisconsin\""] [\""http://dbpedia.org/resource/Wisconsin\""]]""";IS
442;yahoo-210;Burlington Wisconsin;"[[\http://dbpedia.org/resource/Burlington_Wisconsin\""] [\""http://dbpedia.org/resource/Wisconsin\""]]""";RP
443;yahoo-211;apple id;"[[\http://dbpedia.org/resource/Apple_ID\""]]""";IS
444;yahoo-213;msn.com;"[[\http://dbpedia.org/resource/MSN\""]]""";IS
445;yahoo-215;bass pro shoppe;"[[\http://dbpedia.org/resource/Bass_Pro_Shops\""]]""";IS
446;yahoo-216;mrsa infection;"[[\http://dbpedia.org/resource/Methicillin-resistant_Staphylococcus_aureus\""] [\""http://dbpedia.org/resource/Infection\""]]""";IS
447;yahoo-219;yahoo mexico;"[[\http://dbpedia.org/resource/Yahoo!\""] [\""http://dbpedia.org/resource/Mexico\""]]""";IS
448;yahoo-219;twitter;"[[\http://dbpedia.org/resource/Twitter\""]]""";NW
449;yahoo-219;twitter com tweets;"[[\http://dbpedia.org/resource/Twitter\""] [\""http://dbpedia.org/resource/Twitter\""]]""";SC
450;yahoo-219;google search;"[[\http://dbpedia.org/resource/Google_Search\""]]""";NW
451;yahoo-220;samsung galaxy siii;"[[\http://dbpedia.org/resource/Samsung_Galaxy_S_III\""]]""";IS
452;yahoo-220;iphone5;"[[\http://dbpedia.org/resource/IPhone_5\""]]""";NW
453;yahoo-220;iphone5 rumors;"[[\http://dbpedia.org/resource/IPhone_5\""] [\""http://dbpedia.org/resource/Rumor\""]]""";SC
454;yahoo-221;youtube;"[[\http://dbpedia.org/resource/YouTube\""]]""";IS
455;yahoo-223;southwest rapid rewards login;"[[\http://dbpedia.org/resource/Southwest_Airlines\""] [\""http://dbpedia.org/resource/Southwest_Airlines\""] [\""http://dbpedia.org/resource/Login\""]]""";IS
456;yahoo-225;yahoo mail;"[[\http://dbpedia.org/resource/Yahoo!_Mail\""]]""";IS
457;yahoo-226;deborah raffin dies;"[[\http://dbpedia.org/resource/Deborah_Raffin\""] [\""http://dbpedia.org/resource/Death\""]]""";IS
458;yahoo-226;Deborah Raffin dies;"[[\http://dbpedia.org/resource/Deborah_Raffin\""] [\""http://dbpedia.org/resource/Death\""]]""";RP
459;yahoo-226;david petraeus rehire;"[[\http://dbpedia.org/resource/David_Petraeus\""] [\""http://dbpedia.org/resource/Employment\""]]""";NW
460;yahoo-226;life of pi;"[[\http://dbpedia.org/resource/Life_of_Pi\""]]""";NW
461;yahoo-226;hector camacho;"[[\http://dbpedia.org/resource/Hector_Camacho\""]]""";NW
462;yahoo-229;travis poter;"[[\http://dbpedia.org/resource/Travis_Porter\""]]""";IS
463;yahoo-229;google;"[[\http://dbpedia.org/resource/Google\""]]""";NW
464;yahoo-229;combat boots for women;"[[\http://dbpedia.org/resource/Combat_boot\""] [\""http://dbpedia.org/resource/Woman\""]]""";NW
465;yahoo-229;att.com;"[[\http://dbpedia.org/resource/AT&T\""]]""";NW
466;yahoo-230;facebook.com;"[[\http://dbpedia.org/resource/Facebook\""]]""";IS
467;yahoo-231;twilight green day;"[[\http://dbpedia.org/resource/The_Twilight_Saga:_Breaking_Dawn_\\u2013_Part_2_(soundtrack)\""] [\""http://dbpedia.org/resource/Green_Day\""]]""";IS
468;yahoo-232;katy perry skintight ballot;"[[\http://dbpedia.org/resource/Katy_Perry\""] [\""http://dbpedia.org/resource/Skin-tight_garment\""] [\""http://dbpedia.org/resource/Ballot\""]]""";IS
469;yahoo-233;google;"[[\http://dbpedia.org/resource/Google\""]]""";IS
470;yahoo-233;oovoo;"[[\http://dbpedia.org/resource/OoVoo\""]]""";NW
471;yahoo-235;oprah life class;"[[\http://dbpedia.org/resource/Oprah's_Lifeclass\""]]""";IS
472;yahoo-235;ted;"[[\http://dbpedia.org/resource/TED_(conference)\""] [\""http://dbpedia.org/resource/Ted_(film)\""]]""";NW
473;yahoo-235;calcium in water;"[[\http://dbpedia.org/resource/Calcium\""] [\""http://dbpedia.org/resource/Water\""]]""";NW
474;yahoo-235;calories in egg whites;"[[\http://dbpedia.org/resource/Calorie\""] [\""http://dbpedia.org/resource/Egg_white\""]]""";NW
475;yahoo-235;strength training vs cardio;"[[\http://dbpedia.org/resource/Strength_training\""] [\""http://dbpedia.org/resource/Aerobic_exercise\""]]""";NW
476;yahoo-235;restaurant newport beach;"[[\http://dbpedia.org/resource/Newport_Beach_California\""]]""";NW
477;yahoo-235;pascal restaurant newport beach;"[[\http://dbpedia.org/resource/Newport_Beach_California\""]]""";SC
478;yahoo-235;five crowns corona del mar restaurant newport beach;"[[\http://dbpedia.org/resource/Corona_del_Mar_Newport_Beach\""]]""";WS
479;yahoo-236;bridal shower favors;"[[\http://dbpedia.org/resource/Bridal_shower\""] [\""http://dbpedia.org/resource/Party_favor\""]]""";IS
480;yahoo-236;party city;"[[\http://dbpedia.org/resource/Party_City\""]]""";NW
481;yahoo-236;bath and body works;"[[\http://dbpedia.org/resource/Bath_&_Body_Works\""]]""";NW
482;yahoo-236;wedding shower sayings;"[[\http://dbpedia.org/resource/Bridal_shower\""] [\""http://dbpedia.org/resource/Saying\""]]""";NW
483;yahoo-236;bridal shower party favors;"[[\http://dbpedia.org/resource/Bridal_shower\""] [\""http://dbpedia.org/resource/Party_favor\""]]""";RE
484;yahoo-236;yellowpages;"[[\http://dbpedia.org/resource/Yellow_pages\""]]""";NW
485;yahoo-236;facebook;"[[\http://dbpedia.org/resource/Facebook\""]]""";NW
486;yahoo-237;websters dictionary;"[[\http://dbpedia.org/resource/Webster's_Dictionary\""] [\""http://dbpedia.org/resource/Dictionary\""]]""";IS
487;yahoo-237;sales interview questions;"[[\http://dbpedia.org/resource/Job_interview\""] [\""http://dbpedia.org/resource/Question\""]]""";NW
488;yahoo-237;gmail login;"[[\http://dbpedia.org/resource/Gmail\""]]""";NW
489;yahoo-237;monster.com;"[[\http://dbpedia.org/resource/Monster.com\""]]""";NW
490;yahoo-237;google.com;"[[\http://dbpedia.org/resource/Google\""]]""";NW
491;yahoo-237;purchasing;"[[\http://dbpedia.org/resource/Purchasing\""]]""";NW
492;yahoo-238;beauty queen killed;"[[\http://dbpedia.org/resource/Beauty_pageant\""]]""";IS
493;yahoo-239;weeworld;"[[\http://dbpedia.org/resource/WeeWorld\""]]""";IS
494;yahoo-240;google maps;"[[\http://dbpedia.org/resource/Google_Maps\""]]""";IS
495;yahoo-240;yahoo mail;"[[\http://dbpedia.org/resource/Yahoo!_Mail\""]]""";NW
496;yahoo-240;aol;"[[\http://dbpedia.org/resource/AOL\""]]""";NW
497;yahoo-240;buffalo wild wing;"[[\http://dbpedia.org/resource/Buffalo_Wild_Wings\""]]""";NW
498;yahoo-241;google;"[[\http://dbpedia.org/resource/Google\""]]""";IS
499;yahoo-242;powerball closing time;"[[\http://dbpedia.org/resource/Powerball\""]]""";IS
500;yahoo-243;anne hathaway;"[[\http://dbpedia.org/resource/Anne_Hathaway\""]]""";IS
501;yahoo-243;Anne Hathaway;"[[\http://dbpedia.org/resource/Anne_Hathaway\""]]""";RP
502;yahoo-243;$425 million jackpot;"[[\http://dbpedia.org/resource/Jackpot\""]]""";NW
503;yahoo-244;juventus streak ends;"[[\http://dbpedia.org/resource/Juventus_F.C.\""]]""";IS
504;yahoo-245;yahoo! weather;"[[\http://dbpedia.org/resource/Yahoo!\""]]""";IS
505;yahoo-245;white pages;"[[\http://dbpedia.org/resource/Telephone_directory\""]]""";NW
506;yahoo-245;where to vote;"[[\http://dbpedia.org/resource/Voting\""]]""";NW
507;yahoo-245;where to purchase;"[[\http://dbpedia.org/resource/Shopping\""]]""";WS
508;yahoo-245;where to post free ads;"[[\http://dbpedia.org/resource/Advertising\""]]""";WS
509;yahoo-245;where to post links for free;"[[\http://dbpedia.org/resource/Link\""]]""";WS
510;yahoo-245;where to post items for sale;"[[\http://dbpedia.org/resource/Selling\""]]""";WS
511;yahoo-246;north korean assassination weapons;"[[\http://dbpedia.org/resource/North_Korea\""]]""";IS
512;yahoo-246;oprah scare;"[[\http://dbpedia.org/resource/Oprah_Winfrey\""]]""";NW
513;yahoo-246;jaco costa rica;"[[\http://dbpedia.org/resource/Jaco_Costa_Rica\""] [\""http://dbpedia.org/resource/Costa_Rica\""]]""";NW
514;yahoo-246;map of costa rica;"[[\http://dbpedia.org/resource/Map\""] [\""http://dbpedia.org/resource/Costa_Rica\""]]""";WS
515;yahoo-246;four seasons costa rica;"[[\http://dbpedia.org/resource/Four_Seasons_Hotels_and_Resorts\""] [\""http://dbpedia.org/resource/Costa_Rica\""]]""";WS
516;yahoo-246;papagayo costa rica map;"[[\http://dbpedia.org/resource/Papagayo_Peninsula\""] [\""http://dbpedia.org/resource/Costa_Rica\""] [\""http://dbpedia.org/resource/Map\""]]""";WS
517;yahoo-248;carol burnett;"[[\http://dbpedia.org/resource/Carol_Burnett\""]]""";IS
518;yahoo-248;yahoo! dating;"[[\http://dbpedia.org/resource/Yahoo!_Personals\""]]""";NW
519;yahoo-248;yahoo! deals;"[[\http://dbpedia.org/resource/Yahoo!\""]]""";WS
520;yahoo-248;death;"[[\http://dbpedia.org/resource/Death\""]]""";NW
521;yahoo-248;death of a salesman;"[[\http://dbpedia.org/resource/Death_of_a_Salesman\""]]""";SC
522;yahoo-248;death penalty for penn state;"[[\http://dbpedia.org/resource/Capital_punishment\""] [\""http://dbpedia.org/resource/Pennsylvania_State_University\""]]""";WS
523;yahoo-248;death of rizal;"[[\http://dbpedia.org/resource/Death\""] [\""http://dbpedia.org/resource/Jose_Rizal\""]]""";WS
524;yahoo-248;death of robin;"[[\http://dbpedia.org/resource/Death\""] [\""http://dbpedia.org/resource/Batman:_A_Death_in_the_Family\""]]""";WS
525;yahoo-248;google;"[[\http://dbpedia.org/resource/Google\""]]""";NW
526;yahoo-248;yahoo! games;"[[\http://dbpedia.org/resource/Yahoo!_Games\""]]""";NW
527;yahoo-248;mi;"[[\http://dbpedia.org/resource/Michigan\""]]""";NW
528;yahoo-248;yahoo! mail;"[[\http://dbpedia.org/resource/Yahoo!_Mail\""]]""";NW
529;yahoo-248;miss universe;"[[\http://dbpedia.org/resource/Miss_Universe\""]]""";NW
530;yahoo-248;mister rogers;"[[\http://dbpedia.org/resource/Mister_Rogers'_Neighborhood\""]]""";NW
531;yahoo-248;mistral;"[[\http://dbpedia.org/resource/Mistral_(wind)\""]]""";NW
532;yahoo-248;mistress fortune;"[[\http://dbpedia.org/resource/Mistress_Fortune\""]]""";NW
533;yahoo-248;mystery shopper;"[[\http://dbpedia.org/resource/Mystery_shopping\""]]""";NW
534;yahoo-250;map of israel;"[[\http://dbpedia.org/resource/Map\""] [\""http://dbpedia.org/resource/Israel\""]]""";IS
535;yahoo-251;facebook;"[[\http://dbpedia.org/resource/Facebook\""]]""";IS
536;yahoo-251;michael cuddyer;"[[\http://dbpedia.org/resource/Michael_Cuddyer\""]]""";NW
537;yahoo-251;michael curry;"[[\http://dbpedia.org/resource/Michael_Curry\""]]""";WS
538;yahoo-251;stock market news;"[[\http://dbpedia.org/resource/Stock_market\""] [\""http://dbpedia.org/resource/News\""]]""";NW
539;yahoo-251;yahoo! bookmarks;"[[\http://dbpedia.org/resource/My_Web\""]]""";NW
540;yahoo-251;brenda song;"[[\http://dbpedia.org/resource/Brenda_Song\""]]""";NW
541;yahoo-251;city of los angeles;"[[\http://dbpedia.org/resource/Los_Angeles\""]]""";NW
542;yahoo-251;city of los angeles jobs;"[[\http://dbpedia.org/resource/Los_Angeles\""] [\""http://dbpedia.org/resource/Employment\""]]""";SC
543;yahoo-251;city of los angeles visitors bureau;"[[\http://dbpedia.org/resource/Los_Angeles\""]]""";WS
544;yahoo-252;legalzoom;"[[\http://dbpedia.org/resource/LegalZoom\""]]""";IS
545;yahoo-254;makita;"[[\http://dbpedia.org/resource/Makita\""]]""";IS
546;yahoo-254;banco santander brasil;"[[\http://dbpedia.org/resource/Santander_Brasil\""] [\""http://dbpedia.org/resource/Brazil\""]]""";NW
547;yahoo-254;bmw x5;"[[\http://dbpedia.org/resource/BMW_X5_(E70)\""]]""";NW
548;yahoo-254;dodog;"[[\http://dbpedia.org/resource/Dodge\""]]""";NW
549;yahoo-254;bodog;"[[\http://dbpedia.org/resource/Bodog\""]]""";RP
550;yahoo-255;twinkies may survive;"[[\http://dbpedia.org/resource/Twinkie\""]]""";IS
551;yahoo-256;internet speed test;"[[\http://dbpedia.org/resource/Internet\""] [\""http://dbpedia.org/resource/Browser_speed_test\""]]""";IS
552;yahoo-257;charlie sheen lohan;"[[\http://dbpedia.org/resource/Charlie_Sheen\""] [\""http://dbpedia.org/resource/Lindsay_Lohan\""]]""";IS
553;yahoo-257;apple throws tantrum;"[[\http://dbpedia.org/resource/Apple_Inc.\""]]""";NW
554;yahoo-258;hugh grant;"[[\http://dbpedia.org/resource/Hugh_Grant\""]]""";IS
555;yahoo-260;florida election results;"[[\http://dbpedia.org/resource/Florida\""] [\""http://dbpedia.org/resource/Election\""]]""";IS
556;yahoo-261;black dog machine magazines;"[[\http://dbpedia.org/resource/Magazine_(firearms)\""]]""";IS
557;yahoo-261;sig 522 magazine;"[[\http://dbpedia.org/resource/SIG_522LR\""] [\""http://dbpedia.org/resource/Magazine_(firearms)\""]]""";WS
558;yahoo-261;sig 522 magazine loader;"[[\http://dbpedia.org/resource/SIG_522LR\""] [\""http://dbpedia.org/resource/Magazine_(firearms)\""]]""";SC
559;yahoo-262;zero hedge;"[[\http://dbpedia.org/resource/Zero_Hedge\""]]""";IS
560;yahoo-264;fay observer;"[[\http://dbpedia.org/resource/The_Fayetteville_Observer\""]]""";IS
561;yahoo-265;unsecured no credit check loans;"[[\http://dbpedia.org/resource/Unsecured_debt\""]]""";IS
562;yahoo-266;map;"[[\http://dbpedia.org/resource/Map\""]]""";IS
563;yahoo-266;office depot;"[[\http://dbpedia.org/resource/Office_Depot\""]]""";NW
564;yahoo-266;aqueduct race track;"[[\http://dbpedia.org/resource/Aqueduct_Racetrack\""]]""";NW
565;yahoo-266;pakistan news;"[[\http://dbpedia.org/resource/Pakistan\""] [\""http://dbpedia.org/resource/News\""]]""";NW
566;yahoo-266;gmail;"[[\http://dbpedia.org/resource/Gmail\""]]""";NW
567;yahoo-266;cal racing;"[[\http://dbpedia.org/resource/California\""] [\""http://dbpedia.org/resource/Racing\""]]""";NW
568;yahoo-267;payless shoes;"[[\http://dbpedia.org/resource/Payless_ShoeSource\""]]""";IS
569;yahoo-268;new sexiest man alive;"[[\http://dbpedia.org/resource/Sexual_attraction\""] [\""http://dbpedia.org/resource/Man\""] [\""http://dbpedia.org/resource/Life\""]]""";IS
570;yahoo-269;mapquest;"[[\http://dbpedia.org/resource/MapQuest\""]]""";IS
571;yahoo-270;alternet;"[[\http://dbpedia.org/resource/AlterNet\""]]""";IS
572;yahoo-270;cholesterol levels;"[[\http://dbpedia.org/resource/Cholesterol\""]]""";NW
573;yahoo-270;hdl level;"[[\http://dbpedia.org/resource/High-density_lipoprotein\""] [\""http://dbpedia.org/resource/Factor_analysis\""]]""";RE
574;yahoo-271;belbin team roles;"[[\http://dbpedia.org/resource/Team_Role_Inventories\""]]""";IS
575;yahoo-271;the great gatsby;"[[\http://dbpedia.org/resource/The_Great_Gatsby_(1974_film)\""]]""";NW
576;yahoo-271;difference between mitosis and meiosis;"[[\http://dbpedia.org/resource/Mitosis\""] [\""http://dbpedia.org/resource/Meiosis\""]]""";NW
577;yahoo-271;exam;"[[\http://dbpedia.org/resource/Test_(assessment)\""]]""";NW
578;yahoo-272;gmail;"[[\http://dbpedia.org/resource/Gmail\""]]""";IS
579;yahoo-273;rockets james harden;"[[\http://dbpedia.org/resource/Houston_Rockets\""] [\""http://dbpedia.org/resource/James_Harden\""]]""";IS
580;yahoo-273;rocketdog shoes;"[[\http://dbpedia.org/resource/Rocket_Dog\""]]""";NW
581;yahoo-273;dicks;"[[\http://dbpedia.org/resource/Dick's_Sporting_Goods\""]]""";RE
582;yahoo-273;womens adidas bounce;"[[\http://dbpedia.org/resource/Woman\""] [\""http://dbpedia.org/resource/Adidas\""]]""";RE
583;yahoo-273;macys;"[[\http://dbpedia.org/resource/Macy's\""]]""";RE
584;yahoo-274;lexington county sc;"[[\http://dbpedia.org/resource/Lexington_County_South_Carolina\""]]""";IS
585;yahoo-275;facebook sign up;"[[\http://dbpedia.org/resource/Facebook\""]]""";IS
586;yahoo-277;cuban offers trump $1 million;"[[\http://dbpedia.org/resource/Mark_Cuban\""] [\""http://dbpedia.org/resource/Donald_Trump\""] [\""http://dbpedia.org/resource/Million\""]]""";IS
587;yahoo-278;cosmopolitan;"[[\http://dbpedia.org/resource/Cosmopolitan\""]]""";IS
588;yahoo-279;billy scott dies;"[[\http://dbpedia.org/resource/Billy_Scott_(singer)\""] [\""http://dbpedia.org/resource/Death\""]]""";IS
589;yahoo-279;Billy Scott dies;"[[\http://dbpedia.org/resource/Billy_Scott_(singer)\""] [\""http://dbpedia.org/resource/Death\""]]""";RP
590;yahoo-279;four killed on reservation;"[[\http://dbpedia.org/resource/4_(number)\""] [\""http://dbpedia.org/resource/Death\""] [\""http://dbpedia.org/resource/Indian_reservation\""]]""";RE
591;yahoo-281;carol burnett sued;"[[\http://dbpedia.org/resource/Carol_Burnett\""] [\""http://dbpedia.org/resource/Lawsuit\""]]""";IS
592;yahoo-281;sam elliot;"[[\http://dbpedia.org/resource/Sam_Elliott\""]]""";NW
593;yahoo-282;pita jungle newport;"[[\http://dbpedia.org/resource/Newport_Beach_California\""]]""";IS
594;yahoo-283;seafood receipes;"[[\http://dbpedia.org/resource/Seafood\""] [\""http://dbpedia.org/resource/Recipe\""]]""";IS
595;yahoo-284;jenner divorce rumors;"[[\http://dbpedia.org/resource/Divorce\""] [\""http://dbpedia.org/resource/Gossip\""]]""";IS
596;yahoo-286;earthquake hits japan;"[[\http://dbpedia.org/resource/Earthquake\""] [\""http://dbpedia.org/resource/Strike_(attack)\""] [\""http://dbpedia.org/resource/Japan\""]]""";IS
597;yahoo-289;redsox;"[[\http://dbpedia.org/resource/Boston_Red_Sox\""]]""";IS
598;yahoo-289;spokesman;"[[\http://dbpedia.org/resource/Spokesperson\""]]""";NW
599;yahoo-289;dust in the wind youtube;"[[\http://dbpedia.org/resource/Dust_in_the_Wind\""] [\""http://dbpedia.org/resource/YouTube\""]]""";NW
600;yahoo-291;walmart black friday ad;"[[\http://dbpedia.org/resource/Walmart\""] [\""http://dbpedia.org/resource/Black_Friday_(shopping)\""] [\""http://dbpedia.org/resource/Advertising\""]]""";IS
601;yahoo-292;taylor lautner regret;"[[\http://dbpedia.org/resource/Taylor_Lautner\""] [\""http://dbpedia.org/resource/Regret_(emotion)\""]]""";IS
602;yahoo-293;bbva compass;"[[\http://dbpedia.org/resource/BBVA_Compass\""]]""";IS
603;yahoo-293;www.cpsenergy.com;"[[\http://dbpedia.org/resource/CPS_Energy\""]]""";NW
604;yahoo-294;msft;"[[\http://dbpedia.org/resource/Microsoft\""]]""";IS
605;yahoo-294;aa;"[[\http://dbpedia.org/resource/Alcoholics_Anonymous\""]]""";NW
606;yahoo-295;yahoomusic.com;"[[\http://dbpedia.org/resource/Yahoo!_Music\""]]""";IS
607;yahoo-296;spanish to english translation;"[[\http://dbpedia.org/resource/Spanish_language\""] [\""http://dbpedia.org/resource/English_language\""] [\""http://dbpedia.org/resource/Translation\""]]""";IS
608;yahoo-298;lowes.com;"[[\http://dbpedia.org/resource/Lowe's\""]]""";IS
609;yahoo-298;lowes;"[[\http://dbpedia.org/resource/Lowe's\""]]""";RP
610;yahoo-299;google;"[[\http://dbpedia.org/resource/Google\""]]""";IS
611;yahoo-300;romania;"[[\http://dbpedia.org/resource/Romania\""]]""";IS
612;yahoo-300;youtube;"[[\http://dbpedia.org/resource/YouTube\""]]""";NW
613;yahoo-300;red giant;"[[\http://dbpedia.org/resource/Red_Giant_Software\""]]""";NW
614;yahoo-301;the way international;"[[\http://dbpedia.org/resource/The_Way_International\""]]""";IS
615;yahoo-302;igo 8;"[[\http://dbpedia.org/resource/IGO_(software)\""]]""";IS
616;yahoo-302;igo 8 maps;"[[\http://dbpedia.org/resource/IGO_(software)\""] [\""http://dbpedia.org/resource/Map\""]]""";SC
617;yahoo-303;stagestores.com;"[[\http://dbpedia.org/resource/Stage_Stores_Inc.\""]]""";IS
618;yahoo-305;arsenal;"[[\http://dbpedia.org/resource/Arsenal_F.C.\""]]""";IS
619;yahoo-305;powerball;"[[\http://dbpedia.org/resource/Powerball\""]]""";NW
620;yahoo-305;english premier league;"[[\http://dbpedia.org/resource/Premier_League\""]]""";NW
621;yahoo-307;one story brick house plans;"[[\http://dbpedia.org/resource/1_(number)\""] [\""http://dbpedia.org/resource/Storey\""] [\""http://dbpedia.org/resource/Brick\""] [\""http://dbpedia.org/resource/House_plan\""]]""";IS
622;yahoo-307;wal mart;"[[\http://dbpedia.org/resource/Walmart\""]]""";NW
623;yahoo-307;house plans;"[[\http://dbpedia.org/resource/House_plan\""]]""";NW
624;yahoo-307;brick house plans;"[[\http://dbpedia.org/resource/Brick\""] [\""http://dbpedia.org/resource/House_plan\""]]""";WS
625;yahoo-307;best house plans;"[[\http://dbpedia.org/resource/House_plan\""]]""";WS
626;yahoo-308;mediacom cable;"[[\http://dbpedia.org/resource/Mediacom\""]]""";IS
627;yahoo-308;first source bank;"[[\http://dbpedia.org/resource/1st_Source\""]]""";NW
628;yahoo-308;lakeshore ford;"[[\http://dbpedia.org/resource/Ford_Motor_Company\""]]""";NW
629;yahoo-309;www.youtube.com;"[[\http://dbpedia.org/resource/YouTube\""]]""";IS
630;yahoo-310;yahoo;"[[\http://dbpedia.org/resource/Yahoo!\""]]""";IS
631;yahoo-310;ebay;"[[\http://dbpedia.org/resource/EBay\""]]""";NW
632;yahoo-311;craigslist;"[[\http://dbpedia.org/resource/Craigslist\""]]""";IS
633;yahoo-311;autotrader;"[[\http://dbpedia.org/resource/AutoTrader.com\""]]""";NW
634;yahoo-311;yahoo! axis;"[[\http://dbpedia.org/resource/Yahoo!_Axis\""]]""";NW
